make,vehicle_class,engine_liters,cylinders,transmission,fuel_type,fuel_consumption_liters_100km,co2_emissions,co2_bins
bmw,subcompact,4.4,8,as8,z,11.5,269,"Surcharge of $20,000"
bmw,suv: small,2,4,as8,z,9.3,217,"Surcharge of $20,000"
bmw,suv: small,2,4,as8,z,9.5,222,"Surcharge of $20,000"
bmw,suv: small,2,4,as8,z,9.6,223,"Surcharge of $20,000"
bmw,suv: small,3,6,as8,z,10.4,245,"Surcharge of $20,000"
bmw,suv: small,2,4,as8,z,9.6,223,"Surcharge of $20,000"
bmw,suv: small,3,6,as8,z,10.4,245,"Surcharge of $20,000"
bmw,suv: standard,4.4,8,as8,z,13.4,314,"Surcharge of $20,000"
bmw,suv: standard,3,6,as8,z,11.6,272,"Surcharge of $20,000"
bmw,suv: standard,4.4,8,as8,z,12.6,294,"Surcharge of $20,000"
bmw,suv: standard,4.4,8,as8,z,14.6,341,"Surcharge of $20,000"
bmw,suv: standard,4.4,8,as8,z,12.6,294,"Surcharge of $20,000"
buick,suv: standard,3.6,6,a9,x,11.9,278,"Surcharge of $20,000"
buick,suv: small,1.4,4,as6,x,8.3,194,"Surcharge of $20,000"
buick,suv: small,1.4,4,as6,x,9.1,214,"Surcharge of $20,000"
buick,suv: small,1.4,4,as6,x,8.8,205,"Surcharge of $20,000"
buick,suv: small,2,4,a9,z,10.7,249,"Surcharge of $20,000"
buick,mid-size,3.6,6,as9,x,9.9,233,"Surcharge of $20,000"
buick,mid-size,2.5,4,as6,x,8.2,192,"Surcharge of $20,000"
buick,mid-size,3.6,6,as9,x,10.1,238,"Surcharge of $20,000"
buick,mid-size,2,4,as9,z,9.1,214,"Surcharge of $20,000"
buick,mid-size,3.6,6,as9,x,10.7,251,"Surcharge of $20,000"
cadillac,full-size,3,6,as10,z,11.3,267,"Surcharge of $20,000"
cadillac,full-size,3.6,6,as10,x,11.1,261,"Surcharge of $20,000"
cadillac,mid-size,2,4,as8,z,9.5,222,"Surcharge of $20,000"
cadillac,mid-size,3.6,6,as8,x,10.5,246,"Surcharge of $20,000"
cadillac,mid-size,2,4,as8,z,9.9,232,"Surcharge of $20,000"
cadillac,mid-size,3.6,6,as8,x,11.5,269,"Surcharge of $20,000"
cadillac,mid-size,3.6,6,as8,z,12.7,298,"Surcharge of $20,000"
cadillac,mid-size,6.2,8,as8,z,14.3,337,"Surcharge of $20,000"
cadillac,suv: standard,6.2,8,a10,z,14,328,"Surcharge of $20,000"
cadillac,suv: small,3.6,6,as8,x,10.6,250,"Surcharge of $20,000"
cadillac,suv: small,3.6,6,as8,x,11.2,263,"Surcharge of $20,000"
cadillac,full-size,3.6,6,as6,x,11,259,"Surcharge of $20,000"
cadillac,full-size,3.6,6,as6,x,11.6,272,"Surcharge of $20,000"
cadillac,full-size,3.6,6,as6,z,12.8,302,"Surcharge of $20,000"
chevrolet,suv: small,2.5,4,a9,x,9.9,232,"Surcharge of $20,000"
chevrolet,suv: small,3.6,6,a9,x,10.6,250,"Surcharge of $20,000"
chevrolet,suv: small,3.6,6,a9,x,11.3,265,"Surcharge of $20,000"
chevrolet,subcompact,2,4,as8,z,9.4,220,"Surcharge of $20,000"
chevrolet,subcompact,3.6,6,as8,x,10.4,246,"Surcharge of $20,000"
chevrolet,subcompact,3.6,6,m6,x,11.8,277,"Surcharge of $20,000"
chevrolet,subcompact,6.2,8,as10,z,12,279,"Surcharge of $20,000"
chevrolet,subcompact,6.2,8,m6,z,12.6,297,"Surcharge of $20,000"
chevrolet,subcompact,6.2,8,m6,z,14.9,349,"Surcharge of $20,000"
chevrolet,pickup truck: small,2.5,4,a6,x,10.8,253,"Surcharge of $20,000"
chevrolet,pickup truck: small,2.5,4,m6,x,10.7,251,"Surcharge of $20,000"
chevrolet,pickup truck: small,3.6,6,a8,x,11.7,274,"Surcharge of $20,000"
chevrolet,pickup truck: small,2.5,4,a6,x,11.4,267,"Surcharge of $20,000"
chevrolet,pickup truck: small,2.8,4,a6,d,10.5,283,"Surcharge of $20,000"
chevrolet,two-seater,6.2,8,as8,z,12.7,299,"Surcharge of $20,000"
chevrolet,two-seater,6.2,8,m7,z,12.2,286,"Surcharge of $20,000"
chevrolet,two-seater,6.2,8,as8,z,14,331,"Surcharge of $20,000"
chevrolet,two-seater,6.2,8,m7,z,13.5,318,"Surcharge of $20,000"
chevrolet,two-seater,6.2,8,as8,z,16.1,381,"Surcharge of $20,000"
chevrolet,two-seater,6.2,8,m7,z,15.6,368,"Surcharge of $20,000"
chevrolet,compact,1.4,4,as6,x,7.3,172,"Surcharge of $10,000"
chevrolet,compact,1.4,4,as6,x,7.3,172,"Surcharge of $10,000"
chevrolet,compact,1.6,4,a9,d,6.4,172,"Surcharge of $10,000"
chevrolet,mid-size,1.4,4,as6,x,7.3,172,"Surcharge of $10,000"
chevrolet,mid-size,1.4,4,as6,x,7.5,175,"Surcharge of $10,000"
chevrolet,mid-size,1.6,4,a9,d,6.6,178,"Surcharge of $10,000"
chevrolet,suv: small,1.5,4,a6,x,8.3,196,"Surcharge of $20,000"
chevrolet,suv: small,1.6,4,a6,d,7.4,199,"Surcharge of $20,000"
chevrolet,suv: small,1.5,4,a6,x,8.6,207,"Surcharge of $20,000"
chevrolet,suv: small,1.6,4,a6,d,7.4,199,"Surcharge of $20,000"
chevrolet,full-size,2.5,4,as6,x,9.6,225,"Surcharge of $20,000"
chevrolet,full-size,3.6,6,as6,x,10.8,254,"Surcharge of $20,000"
chevrolet,full-size,3.6,6,as6,e,14.6,245,"Surcharge of $20,000"
chevrolet,mid-size,1.5,4,av,x,7.5,174,"Surcharge of $10,000"
chevrolet,mid-size,1.8,4,av,x,5.1,121,"Rebate of $10,000"
chevrolet,pickup truck: standard,2.7,4,a8,x,11.1,261,"Surcharge of $20,000"
chevrolet,pickup truck: standard,4.3,6,a6,x,13.5,316,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a6,x,14,329,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a6,e,18.4,306,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a8,x,12.4,290,"Surcharge of $20,000"
chevrolet,pickup truck: standard,4.3,6,a6,x,14.8,347,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a6,x,14,329,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a6,x,14.4,339,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a6,e,19.3,322,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a6,x,14.9,350,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a8,x,13.1,306,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a8,x,13.7,320,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a6,x,13.5,317,"Surcharge of $20,000"
chevrolet,pickup truck: standard,5.3,8,a6,x,13.8,325,"Surcharge of $20,000"
chevrolet,subcompact,1.4,4,av,x,7.1,167,"Surcharge of $10,000"
chevrolet,subcompact,1.4,4,m5,x,7.2,170,"Surcharge of $10,000"
chevrolet,suv: standard,5.3,8,a6,x,14.3,336,"Surcharge of $20,000"
chevrolet,suv: standard,5.3,8,a6,x,14.3,336,"Surcharge of $20,000"
chevrolet,suv: standard,5.3,8,a6,e,19,317,"Surcharge of $20,000"
chevrolet,suv: standard,6.2,8,a10,z,14.5,340,"Surcharge of $20,000"
chevrolet,suv: standard,5.3,8,a6,x,13.7,321,"Surcharge of $20,000"
chevrolet,suv: standard,5.3,8,a6,x,13.7,321,"Surcharge of $20,000"
chevrolet,suv: standard,6.2,8,a10,z,13.8,325,"Surcharge of $20,000"
chevrolet,suv: standard,3.6,6,a9,x,11.8,277,"Surcharge of $20,000"
chevrolet,suv: small,1.4,4,m6,x,8.3,194,"Surcharge of $20,000"
chevrolet,suv: small,1.4,4,as6,x,9.1,214,"Surcharge of $20,000"
chrysler,full-size,3.6,6,a8,x,10.3,242,"Surcharge of $20,000"
chrysler,full-size,3.6,6,a8,e,14.2,234,"Surcharge of $20,000"
chrysler,full-size,3.6,6,a8,x,11,258,"Surcharge of $20,000"
chrysler,full-size,3.6,6,a8,e,15,248,"Surcharge of $20,000"
chrysler,minivan,3.6,6,a9,x,10.9,259,"Surcharge of $20,000"
dodge,mid-size,6.4,8,a8,z,13,304,"Surcharge of $20,000"
dodge,mid-size,3.6,6,a8,x,11,258,"Surcharge of $20,000"
dodge,mid-size,6.2,8,a8,z,14.5,339,"Surcharge of $20,000"
dodge,full-size,3.6,6,a5,x,11.6,271,"Surcharge of $20,000"
dodge,full-size,3.6,6,a5,e,16.1,268,"Surcharge of $20,000"
dodge,full-size,3.6,6,a8,x,10.3,242,"Surcharge of $20,000"
dodge,full-size,3.6,6,a8,e,14.2,234,"Surcharge of $20,000"
dodge,full-size,5.7,8,a5,x,12.9,302,"Surcharge of $20,000"
dodge,full-size,6.4,8,a8,z,13,304,"Surcharge of $20,000"
dodge,full-size,3.6,6,a8,x,11,258,"Surcharge of $20,000"
dodge,full-size,3.6,6,a8,e,15,248,"Surcharge of $20,000"
dodge,full-size,5.7,8,a5,x,13.3,312,"Surcharge of $20,000"
dodge,full-size,6.2,8,a8,z,14.5,339,"Surcharge of $20,000"
dodge,suv: standard,3.6,6,a8,x,11.3,265,"Surcharge of $20,000"
dodge,minivan,3.6,6,a6,x,11.8,276,"Surcharge of $20,000"
dodge,minivan,3.6,6,a6,e,16.7,274,"Surcharge of $20,000"
dodge,suv: small,3.6,6,a6,x,12.1,284,"Surcharge of $20,000"
dodge,suv: small,3.6,6,a6,e,16.4,274,"Surcharge of $20,000"
dodge,suv: small,3.6,6,a6,x,12.4,292,"Surcharge of $20,000"
fiat,minicompact,1.4,4,a6,x,8.7,203,"Surcharge of $20,000"
fiat,minicompact,1.4,4,m5,x,7.9,186,"Surcharge of $20,000"
ford,suv: small,1,3,as6,x,8.4,196,"Surcharge of $20,000"
ford,suv: small,2,4,as6,x,9.3,218,"Surcharge of $20,000"
ford,suv: small,2,4,as8,x,9.6,224,"Surcharge of $20,000"
ford,suv: small,2.7,6,as8,x,11,259,"Surcharge of $20,000"
ford,suv: small,1.5,4,as6,x,9.1,214,"Surcharge of $20,000"
ford,suv: small,2.5,4,as6,x,9.6,226,"Surcharge of $20,000"
ford,suv: small,2.5,4,as6,e,13.1,218,"Surcharge of $20,000"
ford,suv: small,1.5,4,as6,x,9.9,232,"Surcharge of $20,000"
ford,suv: small,2,4,as6,x,10.2,239,"Surcharge of $20,000"
ford,suv: standard,3.5,6,as10,x,12.5,293,"Surcharge of $20,000"
ford,suv: standard,3.5,6,as10,x,13.1,307,"Surcharge of $20,000"
ford,suv: standard,2.3,4,as6,x,11.4,267,"Surcharge of $20,000"
ford,suv: standard,3.5,6,as6,x,13.2,311,"Surcharge of $20,000"
ford,suv: standard,3.5,6,as6,x,12.7,299,"Surcharge of $20,000"
ford,suv: standard,3.5,6,as6,e,17.3,288,"Surcharge of $20,000"
ford,pickup truck: standard,2.7,6,as10,x,10.6,249,"Surcharge of $20,000"
ford,pickup truck: standard,2.7,6,as10,x,11.1,260,"Surcharge of $20,000"
ford,pickup truck: standard,2.7,6,as10,x,11.1,260,"Surcharge of $20,000"
ford,pickup truck: standard,3,6,as10,d,9.5,256,"Surcharge of $20,000"
ford,pickup truck: standard,3,6,as10,d,9.7,260,"Surcharge of $20,000"
ford,pickup truck: standard,3.3,6,as6,x,10.9,256,"Surcharge of $20,000"
ford,pickup truck: standard,3.3,6,as6,e,14.9,247,"Surcharge of $20,000"
ford,pickup truck: standard,3.3,6,as6,x,11.2,263,"Surcharge of $20,000"
ford,pickup truck: standard,3.3,6,as6,e,14.9,247,"Surcharge of $20,000"
ford,pickup truck: standard,3.5,6,as10,x,12,281,"Surcharge of $20,000"
ford,pickup truck: standard,3.5,6,as10,x,12.4,291,"Surcharge of $20,000"
ford,pickup truck: standard,3.5,6,as10,x,12.7,298,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,x,12.2,287,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,e,17.4,290,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,x,13.1,308,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,e,17.5,290,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,x,13.9,326,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,e,17.5,291,"Surcharge of $20,000"
ford,pickup truck: standard,2.7,6,as10,x,11.4,268,"Surcharge of $20,000"
ford,pickup truck: standard,2.7,6,as10,x,11.8,277,"Surcharge of $20,000"
ford,pickup truck: standard,2.7,6,as10,x,11.8,277,"Surcharge of $20,000"
ford,pickup truck: standard,3,6,as10,d,10.7,287,"Surcharge of $20,000"
ford,pickup truck: standard,3,6,as10,d,10.7,287,"Surcharge of $20,000"
ford,pickup truck: standard,3,6,as10,d,9.9,266,"Surcharge of $20,000"
ford,pickup truck: standard,3.3,6,as6,x,11.6,273,"Surcharge of $20,000"
ford,pickup truck: standard,3.3,6,as6,e,15.8,263,"Surcharge of $20,000"
ford,pickup truck: standard,3.3,6,as6,x,12.4,291,"Surcharge of $20,000"
ford,pickup truck: standard,3.3,6,as6,e,15.8,263,"Surcharge of $20,000"
ford,pickup truck: standard,3.5,6,as10,x,12.5,295,"Surcharge of $20,000"
ford,pickup truck: standard,3.5,6,as10,x,12.9,303,"Surcharge of $20,000"
ford,pickup truck: standard,3.5,6,as10,x,13.1,308,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,x,13.3,312,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,e,18,300,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,x,13.9,326,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,e,18,300,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,x,14.8,347,"Surcharge of $20,000"
ford,pickup truck: standard,5,8,as10,e,19.5,323,"Surcharge of $20,000"
ford,suv: standard,3.5,6,as6,x,12.7,298,"Surcharge of $20,000"
ford,suv: standard,3.5,6,as6,x,12.9,303,"Surcharge of $20,000"
ford,suv: standard,3.5,6,as6,x,13.7,322,"Surcharge of $20,000"
ford,subcompact,1.6,4,am6,x,7.6,178,"Surcharge of $10,000"
ford,subcompact,1.6,4,m5,x,7.9,184,"Surcharge of $10,000"
ford,subcompact,1.6,4,m6,x,8.4,196,"Surcharge of $20,000"
ford,mid-size,1.5,4,as6,x,8.7,204,"Surcharge of $20,000"
ford,mid-size,2,4,av,x,5.6,131,No Tax or Rebate
ford,two-seater,3.5,6,am7,z,17.1,402,"Surcharge of $20,000"
ford,subcompact,2.3,4,m6,x,9.7,227,"Surcharge of $20,000"
ford,subcompact,5,8,m6,x,13.3,311,"Surcharge of $20,000"
ford,subcompact,5,8,m6,x,13.3,311,"Surcharge of $20,000"
ford,subcompact,2.3,4,as10,x,10.4,243,"Surcharge of $20,000"
ford,subcompact,2.3,4,m6,x,10.3,241,"Surcharge of $20,000"
ford,subcompact,5,8,as10,x,12.9,302,"Surcharge of $20,000"
ford,pickup truck: standard,2.3,4,as10,x,10.9,256,"Surcharge of $20,000"
ford,subcompact,5.2,8,m6,z,14.6,341,"Surcharge of $20,000"
ford,van: passenger,3.5,6,as6,x,14.7,346,"Surcharge of $20,000"
ford,van: passenger,3.7,6,as6,x,15.2,355,"Surcharge of $20,000"
ford,full-size,3.5,6,as6,x,11.5,270,"Surcharge of $20,000"
ford,full-size,3.5,6,as6,e,15.2,254,"Surcharge of $20,000"
ford,full-size,3.5,6,as6,x,12.5,294,"Surcharge of $20,000"
ford,full-size,3.5,6,as6,x,12.4,291,"Surcharge of $20,000"
ford,full-size,3.5,6,as6,e,16,267,"Surcharge of $20,000"
ford,special purpose vehicle,2,4,as8,x,9.3,219,"Surcharge of $20,000"
genesis,compact,2,4,as8,z,10.3,241,"Surcharge of $20,000"
genesis,full-size,3.3,6,as8,z,11.9,279,"Surcharge of $20,000"
genesis,full-size,5,8,as8,z,13,306,"Surcharge of $20,000"
gmc,suv: standard,2.5,4,a6,x,10.2,237,"Surcharge of $20,000"
gmc,suv: standard,3.6,6,a6,x,11.4,268,"Surcharge of $20,000"
gmc,suv: standard,2.5,4,a6,x,10.5,248,"Surcharge of $20,000"
gmc,suv: standard,3.6,6,a6,x,11.7,275,"Surcharge of $20,000"
gmc,pickup truck: small,2.5,4,a6,x,10.8,253,"Surcharge of $20,000"
gmc,pickup truck: small,2.5,4,m6,x,10.7,251,"Surcharge of $20,000"
gmc,pickup truck: small,3.6,6,a8,x,11.7,274,"Surcharge of $20,000"
gmc,pickup truck: small,2.5,4,a6,x,11.4,267,"Surcharge of $20,000"
gmc,pickup truck: small,2.8,4,a6,d,10.5,283,"Surcharge of $20,000"
gmc,pickup truck: standard,2.7,4,a8,x,11.1,261,"Surcharge of $20,000"
gmc,pickup truck: standard,4.3,6,a6,x,13.5,317,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a6,x,14,329,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a6,e,18.4,306,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a8,x,12.5,294,"Surcharge of $20,000"
gmc,pickup truck: standard,2.7,4,a8,x,11.8,277,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a6,x,14,330,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a6,x,14.4,339,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a6,e,19.4,323,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a8,x,13.5,316,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a8,x,13.7,320,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a6,x,13.5,317,"Surcharge of $20,000"
gmc,pickup truck: standard,5.3,8,a6,x,13.8,325,"Surcharge of $20,000"
gmc,suv: small,1.5,4,a9,x,8.6,201,"Surcharge of $20,000"
gmc,suv: small,1.6,4,a6,d,7.4,199,"Surcharge of $20,000"
gmc,suv: small,1.5,4,a9,x,9,210,"Surcharge of $20,000"
gmc,suv: small,1.6,4,a6,d,7.4,199,"Surcharge of $20,000"
gmc,suv: standard,5.3,8,a6,x,13.7,321,"Surcharge of $20,000"
gmc,suv: standard,5.3,8,a6,x,13.7,321,"Surcharge of $20,000"
gmc,suv: standard,6.2,8,a10,z,13.8,325,"Surcharge of $20,000"
gmc,suv: standard,5.3,8,a6,x,14.3,336,"Surcharge of $20,000"
gmc,suv: standard,5.3,8,a6,x,14.3,336,"Surcharge of $20,000"
gmc,suv: standard,5.3,8,a6,e,19,317,"Surcharge of $20,000"
gmc,suv: standard,6.2,8,a10,z,14.5,340,"Surcharge of $20,000"
honda,full-size,1.5,4,av,x,7.2,168,"Surcharge of $10,000"
honda,full-size,1.5,4,av7,x,7.6,177,"Surcharge of $10,000"
honda,full-size,1.5,4,m6,x,7.9,185,"Surcharge of $10,000"
honda,full-size,2,4,m6,x,9.2,214,"Surcharge of $20,000"
honda,mid-size,2,4,as10,x,9.1,211,"Surcharge of $20,000"
honda,compact,1.5,4,av7,x,7.2,167,"Surcharge of $10,000"
honda,compact,1.5,4,m6,z,7.4,173,"Surcharge of $10,000"
honda,full-size,1.5,4,av7,x,7.3,170,"Surcharge of $10,000"
honda,full-size,1.5,4,m6,x,7.2,167,"Surcharge of $10,000"
honda,full-size,1.5,4,av7,z,7.3,170,"Surcharge of $10,000"
honda,full-size,1.5,4,m6,z,7.2,167,"Surcharge of $10,000"
honda,mid-size,1.5,4,av7,x,7.1,165,"Surcharge of $10,000"
honda,mid-size,2,4,av,x,7.1,167,"Surcharge of $10,000"
honda,mid-size,1.5,4,m6,z,7.4,173,"Surcharge of $10,000"
honda,full-size,2,4,m6,z,9.6,224,"Surcharge of $20,000"
honda,suv: small,1.5,4,av,x,7.8,181,"Surcharge of $10,000"
honda,suv: small,1.5,4,av,x,8,188,"Surcharge of $20,000"
honda,station wagon: small,1.5,4,av7,x,7,166,"Surcharge of $10,000"
honda,station wagon: small,1.8,4,av7,x,8.5,199,"Surcharge of $20,000"
honda,mid-size,1.5,4,av,x,4.9,114,"Rebate of $10,000"
honda,mid-size,1.5,4,av,x,4.9,114,"Rebate of $10,000"
honda,minivan,3.5,6,as9,x,10.7,252,"Surcharge of $20,000"
honda,minivan,3.5,6,as10,x,10.6,247,"Surcharge of $20,000"
honda,suv: small,3.5,6,a9,x,11.3,265,"Surcharge of $20,000"
honda,suv: small,3.5,6,a6,x,10.7,250,"Surcharge of $20,000"
honda,pickup truck: standard,3.5,6,a6,x,11.3,263,"Surcharge of $20,000"
hyundai,compact,1.6,4,as6,x,7.3,172,"Surcharge of $10,000"
hyundai,compact,1.6,4,m6,x,7.3,173,"Surcharge of $10,000"
hyundai,mid-size,1.6,4,am7,x,8.1,189,"Surcharge of $20,000"
hyundai,mid-size,1.6,4,m6,x,9.4,221,"Surcharge of $20,000"
hyundai,mid-size,2,4,as6,x,7.4,174,"Surcharge of $10,000"
hyundai,mid-size,2,4,m6,x,8,188,"Surcharge of $20,000"
hyundai,full-size,2,4,as6,x,8.4,200,"Surcharge of $20,000"
hyundai,full-size,1.6,4,am6,x,4.3,104,"Rebate of $10,000"
hyundai,suv: small,2,4,as6,x,7.9,186,"Surcharge of $20,000"
hyundai,suv: small,2,4,as8,x,11.2,262,"Surcharge of $20,000"
hyundai,suv: small,2.4,4,as8,x,10.1,237,"Surcharge of $20,000"
hyundai,suv: small,3.3,6,as6,x,11.5,268,"Surcharge of $20,000"
hyundai,suv: small,3.3,6,as6,x,11.7,276,"Surcharge of $20,000"
hyundai,suv: small,3.3,6,as6,x,12.6,297,"Surcharge of $20,000"
hyundai,full-size,2,4,as8,x,9.1,212,"Surcharge of $20,000"
hyundai,full-size,2.4,4,as6,x,8.3,198,"Surcharge of $20,000"
